H,1.008
He,4.003
Li,6.941
Be,9.012
B,10.811
C,12.011
N,14.007
O,15.999
F,18.998
Ne,20.18
Na,22.99
Mg,24.305
Al,26.982
Si,28.086
P,30.974
S,32.065
Cl,35.453
Ar,39.948
K,39.098
Ca,40.078
Sc,44.956
Ti,47.867
V,50.942
Cr,51.996
Mn,54.938
Fe,55.845
Co,58.933
Ni,58.693
Cu,63.546
Zn,65.39
Ga,69.723
Ge,72.64
As,74.922
Se,78.96
Br,79.904
Kr,83.8
Rb,85.468
Sr,87.62
Y,88.906
Zr,91.224
Nb,92.906
Mo,95.94
Ru,101.07
Rh,102.91
Pd,106.42
Ag,107.87
Cd,112.41
In,114.82
Sn,118.71
Sb,121.76
Te,127.6
I,126.9
Xe,131.29
Cs,132.91
Ba,137.33
La,138.91
Ce,140.12
Pr,140.91
Nd,144.24
Sm,150.36
Eu,151.96
Gd,157.25
Tb,158.93
Dy,162.5
Ho,164.93
Er,167.26
Tm,168.93
Yb,173.04
Lu,174.97
Hf,178.49
Ta,180.95
W,183.95
Re,186.21
Os,190.23
Ir,192.22
Pt,195.08
Au,196.97
Hg,200.59
Tl,204.38
Pb,207.2
Bi,208.98
Th,232.04
Pa,231.04
U,238.03
